relative_path,bytes,sha256
01_FINAL_RELEASE/04_VERBESSERTE_V6_HEXCLIPS_PLUS1MM/03_PRUEFUNG/01_CLIP_PLUS1MM.png,13461,30aff9b06ac291663686483770525411dbf74f6fa3239997069202e59449b800
01_FINAL_RELEASE/04_VERBESSERTE_V6_HEXCLIPS_PLUS1MM/03_PRUEFUNG/02_SECHS_CLIPS_PLUS1MM.png,23158,75e9cf136e3c745963d6fcde1480f4cb940e381486665f2393a821b33631d15d
01_FINAL_RELEASE/04_VERBESSERTE_V6_HEXCLIPS_PLUS1MM/03_PRUEFUNG/v6_mount_clips_plus1mm.py,1356,6ce60fe39feb4076ee47cd9603aed9fad7542bd72f3fa0417cbd599ffe44e0a2
01_FINAL_RELEASE/04_VERBESSERTE_V6_HEXCLIPS_PLUS1MM/DRUCKHINWEIS.md,391,644977234b99ab6dc753d1b18a5a7b0470d06df92a55b44292637aa48eee80c5
01_FINAL_RELEASE/05_QUELLEN/cyberdeck_v1.py,55987,1b97af19a5b30f9ec16010ec32e48af4f6b9974221648b4f8bd888127249e020
01_FINAL_RELEASE/README_BLOG_PAKET.md,1618,57bded7addc8529e0d6c8cc6f2059b82bba8e0011a4a6668a2f4a6aea4930f20
05_MESSDATEN_UND_PRUEFBILDER/PRUEFBILDER_AUS_ENTWICKLUNG/00_GESPERRT_FALSCHE_54MM_VERSION_NICHT_DRUCKEN/V4_REFERENZ_MASTER_UEBERSICHT.png,167279,a96932ffc4a7c61bb63506dd88907b1829aaddc2bd927353a392e1f6f33e5a1a
05_MESSDATEN_UND_PRUEFBILDER/PRUEFBILDER_AUS_ENTWICKLUNG/05_DOKUMENTATION_UND_QUELLE/ADAPTER_UEBERSICHT.png,72688,bcca0e1b172268c203b71ebb854c6b96f99114581502995bb7af15ab03d70a6e
05_MESSDATEN_UND_PRUEFBILDER/PRUEFBILDER_AUS_ENTWICKLUNG/07_SCHIEBEBOX_POWERBANK_V2/05_QUELLE_UND_PRUEFUNG/01_INNENRAUM_POWERBANK.png,30874,4bc690b428d8853092601397cc23e6aca7480813262b1d7399bbc29c6f9377dd
05_MESSDATEN_UND_PRUEFBILDER/PRUEFBILDER_AUS_ENTWICKLUNG/07_SCHIEBEBOX_POWERBANK_V2/05_QUELLE_UND_PRUEFUNG/02_BOX_AUSSEN.png,33509,61ad4222e7aa274e8c83b6273e2d0b9ed57b44cbb40f3384448a70e44072de7b
05_MESSDATEN_UND_PRUEFBILDER/PRUEFBILDER_AUS_ENTWICKLUNG/07_SCHIEBEBOX_POWERBANK_V2/05_QUELLE_UND_PRUEFUNG/03_SCHIEBEDECKEL.png,21239,ac54f6ad2fc547924b88492c60c77fc196c34b8f0696acc3285729708e11b181
05_MESSDATEN_UND_PRUEFBILDER/PRUEFBILDER_AUS_ENTWICKLUNG/07_SCHIEBEBOX_POWERBANK_V2/05_QUELLE_UND_PRUEFUNG/04_DRAUFSICHT_FAECHER.png,9487,ce8dc3d808479c8a5fd307a0224454f5461310b2460d8bd5bdc54d3ca76ae4a7
05_MESSDATEN_UND_PRUEFBILDER/PRUEFBILDER_AUS_ENTWICKLUNG/08_SCHIEBEBOX_POWERBANK_100MM_V3/05_QUELLE_UND_PRUEFUNG/01_INNENRAUM_POWERBANK.png,30146,d52126e0f6114926c2b99d7dd8872caa588acee0511db94a61d80cdb2f229c1d
05_MESSDATEN_UND_PRUEFBILDER/PRUEFBILDER_AUS_ENTWICKLUNG/08_SCHIEBEBOX_POWERBANK_100MM_V3/05_QUELLE_UND_PRUEFUNG/02_BOX_AUSSEN.png,33509,61ad4222e7aa274e8c83b6273e2d0b9ed57b44cbb40f3384448a70e44072de7b
05_MESSDATEN_UND_PRUEFBILDER/PRUEFBILDER_AUS_ENTWICKLUNG/08_SCHIEBEBOX_POWERBANK_100MM_V3/05_QUELLE_UND_PRUEFUNG/03_SCHIEBEDECKEL.png,21239,ac54f6ad2fc547924b88492c60c77fc196c34b8f0696acc3285729708e11b181
05_MESSDATEN_UND_PRUEFBILDER/PRUEFBILDER_AUS_ENTWICKLUNG/08_SCHIEBEBOX_POWERBANK_100MM_V3/05_QUELLE_UND_PRUEFUNG/04_DRAUFSICHT_FAECHER.png,9487,ce8dc3d808479c8a5fd307a0224454f5461310b2460d8bd5bdc54d3ca76ae4a7
05_MESSDATEN_UND_PRUEFBILDER/PRUEFBILDER_AUS_ENTWICKLUNG/09_SCHIEBEBOX_POWERBANK_100X76X16_V4/05_QUELLE_UND_PRUEFUNG/01_INNENRAUM_POWERBANK.png,29142,aa501ebbc4c716d853f19bec65a4c160ca90655afedbf81d0ab698738a65b66b
